"Entidad
federativa","Población
de 15 y más
años","Sin esco-
laridad
(Por ciento)","Educación
básica
(Por ciento)","Educación
media
superior a/
(Por ciento)","Educación
superior b/
(Por ciento)","No espe-
cificado
(Por ciento)"
Aguascalientes, 922 260,3.1,54.3,21.8,20.7,0.1
Baja California,2 426 598,3.0,51.9,25.5,19.4,0.3
Baja California Sur, 522 043,3.3,48.0,27.4,21.1,0.3
Campeche, 654 054,7.6,51.7,20.3,20.3,0.1
Coahuila de Zaragoza,2 126 205,2.5,54.1,21.4,21.5,0.4
Colima, 523 309,4.7,51.5,21.7,22.0,0.1
Chiapas,3 474 961,14.6,57.2,16.4,11.7,0.2
Chihuahua,2 554 606,3.6,54.1,21.4,18.8,2.1
Ciudad de México,7 128 836,2.0,38.9,26.6,32.1,0.3
Durango,1 237 512,3.4,59.5,20.2,16.7,0.2
Guanajuato,4 159 525,7.7,60.6,18.4,13.2,0.2
Guerrero,2 439 412,13.2,54.0,19.6,12.9,0.2
Hidalgo,2 049 589,6.7,56.9,20.3,14.9,1.2
Jalisco,5 657 534,4.3,55.7,20.8,19.0,0.2
México,11 882 755,4.0,52.9,25.0,17.9,0.3
Michoacán de Ocampo,3 254 687,9.1,60.2,17.0,13.3,0.4
Morelos,1 410 802,5.8,53.0,22.8,18.1,0.2
Nayarit, 844 407,5.5,53.4,22.2,18.7,0.2
Nuevo León,3 786 162,2.2,50.4,22.8,24.2,0.4
Oaxaca,2 794 973,11.8,58.6,16.1,11.6,1.9
Puebla,4 350 813,7.9,56.2,19.0,16.5,0.4
Querétaro,1 470 991,5.6,52.1,20.9,21.2,0.2
Quintana Roo,1 090 216,4.5,50.9,25.8,18.6,0.2
San Luis Potosí,1 941 965,6.5,56.9,19.7,16.7,0.3
Sinaloa,2 169 167,4.7,48.2,23.9,23.0,0.2
Sonora,2 070 267,2.7,49.8,24.8,21.9,0.8
Tabasco,1 713 350,4.8,52.7,23.5,18.8,0.2
Tamaulipas,2 500 369,3.7,53.4,23.1,19.4,0.4
Tlaxcala, 908 171,4.1,56.7,22.3,16.7,0.2
Veracruz de Ignacio de la Llave,5 960 115,9.2,55.2,19.7,15.6,0.3
Yucatán,1 554 283,6.7,55.0,19.9,18.2,0.2
Zacatecas,1 112 487,4.9,63.5,16.4,15.0,0.2
